section,content,reference,parsed_references
A_Allgemeine_zahnärztliche_Leistungen,"Allgemeine Bestimmungen
1. Eine Beratungsgebühr nach der Nummer 1 des Gebührenverzeich -
nisses für ärztliche Leistungen €Anlage zur Gebührenordnung für Ärzte
in der am 01. Januar 2012 geltenden Fassung €darf im Behandlungsfall
nur einmal zusammen mit einer Gebühr für eine Leistung nach diesem
Gebührenverzeichnis und für eine Leistung aus den Abschnitten C bis O
des Gebührenverzeichnisses für ärztliche Leistungen berechnet werden.
Eine Beratungsgebühr nach der Nummer 3 des Gebührenverzeichnisses
für ärztliche Leistungen ist nur berechnungsfähig als einzige Leistung
oder im Zusammenhang mit einer Untersuchung nach der Nummer
0010 oder einer Untersuchung nach den Nummern 5 oder 6 des Ge -
bührenverzeichnisses für ärztliche Leistungen. Andere weitere Leistun -
gen dürfen neben der Leistung nach der Nummer 3 nicht berechnet
werden. Als Behandlungsfall gilt für die Behandlung derselben Erkran -
kung der Zeitraum eines Monats nach der jeweils ersten Inanspruch -
nahme des Zahnarztes.
2. Das bei Leistungen nach diesem Gebührenverzeichnis verwendete
Abformungsmaterial ist gesondert berechnungsfähig.
3. Material- und Laborkosten im Sinne dieses Gebührenverzeichnisses
umfassen Praxiskosten nach § 4 Absatz 3 und Auslagen für zahntechni -
sche Leistungen nach § 9 dieser Gebührenordnung.","References: § 4 Absatz 3, § 9","[{'section': '4'}, {'section': '9'}]"
A_Allgemeine_zahnärztliche_Leistungen,,The text provided does not contain any references to other paragraphs.,
B_Prophylaktische_Leistungen,"Allgemeine Bestimmungen
Prophylaktische Leistungen nach Abschnitt B sind nur bei Einzelunterwei -
sung (Individualprophylaxe) berechnungsfähig; bei Gruppenunterwei -
sung (Gruppenprophylaxe) sind sie nicht berechnungsfähig.",The text does not mention any references to other paragraphs.,
B_Prophylaktische_Leistungen,,The text provided does not contain any references to other paragraphs.,
C_Konservierende_Leistungen,"Allgemeine Bestimmungen
Nur einmal verwendbare Nickel-Titan-Instrumente zur Wurzelkanalauf -
bereitung sind gesondert berechnungsfähig.",The text does not mention any references to other paragraphs.,
C_Konservierende_Leistungen,,"The text provided does not contain any references to other paragraphs. Therefore, the list of references is empty.",
C_Konservierende_Leistungen,,The text provided does not contain any references to other paragraphs.,
C_Konservierende_Leistungen,,The text provided does not contain any references to other paragraphs.,
C_Konservierende_Leistungen,,"The text provided does not contain any references to other paragraphs. Therefore, the list of references is empty.",
D_Chirurgische_Leistungen,"Allgemeine Bestimmungen
1. Die primäre Wundversorgung (z.B. Reinigen der Wunde, Glätten des
Knochens, Umschneidung, Tamponieren, Wundverschluss ohne zusätz -
liche Lappenbildung, gegebenenfalls Fixieren eines plastischen Wund -
verbandes) ist Bestandteil der Leistungen nach Abschnitt D und nicht
gesondert berechnungsfähig.
2. Die Schaffung des operativen Zugangs ist Bestandteil der Leistungen
nach Abschnitt D und nicht gesondert berechnungsfähig.
3. Knochenersatzmaterialien sowie Materialien zur Förderung der Blutge -
rinnung oder der Geweberegeneration (z.B. Membranen) sowie zum Ver -
schluss von oberflächlichen Blutungen bei hämorrhagischen Diathesen
oder, wenn dies zum Schutz wichtiger anatomischer Strukturen (z.B. Ner -
ven) erforderlich ist, sowie atraumatisches Nahtmaterial oder nur einmal
verwendbare Explantationsfräsen, sind gesondert berechnungsfähig.",The text does not contain any references to other paragraphs.,
D_Chirurgische_Leistungen,,The text provided does not contain any references to other paragraphs.,
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,"und des Parodontiums
Allgemeine Bestimmungen
1. Die primäre Wundversorgung (z.B. Reinigen der Wunde, Glätten des
Knochens, Umschneidung, Tamponieren, Wundverschluss ohne zusätz -
liche Lappenbildung, gegebenenfalls Fixieren eines plastischen Wund -
verbandes) ist Bestandteil der Leistungen nach Abschnitt E und nicht
gesondert berechnungsfähig.
2. Knochenersatzmaterialien sowie Materialien zur Förderung der Blutge -
rinnung oder der Geweberegeneration (z.B. Membranen) sowie zum Ver -
schluss von oberflächlichen Blutungen bei hämorrhagischen Diathesen
oder, wenn dies zum Schutz wichtiger anatomischer Strukturen (z.B. Ner -
ven) erforderlich ist, sowie atraumatisches Nahtmaterial und Materialien
zur Fixierung von Membranen sind gesondert berechnungsfähig.",The text does not contain any references to other paragraphs.,
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,und des Parodontiums,The text provided does not contain any references to other paragraphs.,
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,und des Parodontiums,The text provided does not contain any references to other paragraphs.,
F_Prothetische_Leistungen,,The text provided does not contain any references to other paragraphs.,
F_Prothetische_Leistungen,,The text provided does not contain any references to other paragraphs.,
F_Prothetische_Leistungen,,The text provided does not contain any references to other paragraphs.,
F_Prothetische_Leistungen,,The text provided does not contain any references to other paragraphs.,
G_Kieferorthopädische_Leistungen,"Allgemeine Bestimmungen
Die Leistungen nach den Nummern 6100, 6120, 6140 und 6150 beinhal -
ten auch die Material- und Laborkosten für Standardmaterialien wie
zum Beispiel unprogrammierte Edelstahlbrackets, unprogrammierte At -
tachments und Edelstahlbänder.
Werden darüber hinausgehende Materialien verwendet, können die
Mehrkosten für diese Materialien gesondert berechnet werden, wenn
dies vor der Verwendung mit dem Zahlungspflichtigen nach persönli -
cher Absprache schriftlich vereinbart worden ist. Diese Vereinbarung
hat Angaben über die voraussichtliche Höhe der einzelnen Material-
und Laborkosten und die Material- und Laborkosten der in Abzug zu
bringenden Standardmaterialien zu enthalten. In der Vereinbarung ist
darauf hinzuweisen, dass eine Erstattung durch Erstattungsstellen mög -
licherweise nicht im vollen Umfang gewährleistet ist.",The text does not mention any references to other paragraphs.,
G_Kieferorthopädische_Leistungen,,The text provided does not contain any references to other paragraphs.,
G_Kieferorthopädische_Leistungen,,"The text provided does not contain any references to other paragraphs. Therefore, there are no references to extract.",
H_Eingliederung_von_Aufbissbehelfen_und_Schienen,"Allgemeine Bestimmungen
Endgültige Kronen, Brücken und Prothesen dürfen nicht als Aufbissbe -
helfe oder Schienen nach Abschnitt H berechnet werden.",References: Abschnitt H,
J_Funktionsanalytische_und,funktionstherapeutische Leistungen,The text provided does not contain any references to other paragraphs.,
