number,content,section,Punktzahl,1.0-fach,2.3-fach,3.5-fach,reference,parsed_references,rule
10,"Eingehende Untersuchung zur
Feststellung von Zahn-, Mund- und
Kiefererkrankungen einschließlich
Erhebung des Parodontalbefun -
des sowie Aufzeichnung des Be -
fundes",A_Allgemeine_zahnärztliche_Leistungen,100.0,5.62,12.94,19.68,The text does not mention any references to other paragraphs.,,
30,"Aufstellung eines schriftlichen Heil-
und Kostenplans nach Befundauf -
nahme und gegebenenfalls Aus -
wertung von Modellen",A_Allgemeine_zahnärztliche_Leistungen,200.0,11.25,25.87,39.37,The text provided does not mention any references to other paragraphs.,,
40,"Aufstellung eines schriftlichen Heil-
und Kostenplans bei kieferortho -
pädischer Behandlung oder bei
funktionsanalytischen und funkti -
onstherapeutischen Maßnahmen
nach Befundaufnahme und Aus -
arbeitung einer Behandlungspla -
nung
Die Leistungen nach den Num -
mern 0030 und 0040 sind nicht ne -
beneinander berechnungsfähig.",A_Allgemeine_zahnärztliche_Leistungen,250.0,14.06,32.34,49.21,"References: Nummern 0030, 0040",,Die Leistungen nach den Nummern 0030 und 0040 sind nicht nebeneinander berechnungsfähig.
50,"Abformung oder Teilabformung
eines Kiefers für ein Situationsmo -
dell einschließlich Auswertung zur
Diagnose oder Planung",A_Allgemeine_zahnärztliche_Leistungen,120.0,6.75,15.52,23.62,The text does not mention any references to other paragraphs.,,
60,"Abformung beider Kiefer für Situa -
tionsmodelle und einfache Bissfi -
xierung einschließlich Auswertung
zur Diagnose oder Planung
Die Nebeneinanderberechnung
der Leistungen nach den Num -
mern 0050 und 0060 ist in der
Rechnung zu begründen.",A_Allgemeine_zahnärztliche_Leistungen,260.0,14.62,33.63,51.18,"References: Nummern 0050, 0060",,Die Nebeneinanderberechnung der Leistungen nach den Nummern 0050 und 0060 ist in der Rechnung zu begründen.
65,"Optisch-elektronische Abformung
einschließlich vorbereitender Maß -
nahmen, einfache digitale Bissre -
gistrierung und Archivierung, je
Kieferhälfte oder Frontzahnbereich
Neben der Leistung nach der
Nummer 0065 sind konventionelle
Abformungen nach diesem Ge -
bührenverzeichnis für dieselbe
Kieferhälfte oder denselben Front -
zahnbereich nicht berechnungs -
fähig.",A_Allgemeine_zahnärztliche_Leistungen,80.0,4.5,10.35,15.75,"The text references to ""Nummer 0065"". 

References: Nummer 0065",,Neben der Leistung nach der Nummer 0065 sind konventionelle Abformungen nach diesem Gebührenverzeichnis für dieselbe Kieferhälfte oder denselben Frontzahnbereich nicht berechnungsfähig.
70,"Vitalitätsprüfung eines Zahnes
oder mehrerer Zähne einschließ -
lich Vergleichstest, je Sitzung",A_Allgemeine_zahnärztliche_Leistungen,50.0,2.81,6.47,9.84,The text does not mention any references to other paragraphs.,,
80,"Intraorale Oberflächenanästhesie,
je Kieferhälfte oder Frontzahnbe -
reich",A_Allgemeine_zahnärztliche_Leistungen,30.0,1.69,3.88,5.91,The text provided does not contain any references to other paragraphs.,,
90,Intraorale Infiltrationsanästhesie,A_Allgemeine_zahnärztliche_Leistungen,60.0,3.37,7.76,11.81,The text provided does not contain any references to other paragraphs.,,
100,"Intraorale Leitungsanästhesie
Wird die Leistung nach der Num -
mer 0090 je Zahn mehr als einmal
berechnet, ist dies in der Rech -
nung zu begründen.
Bei den Leistungen nach den
Nummern 0090 und 0100 sind die
Kosten der verwendeten Anästhe -
tika gesondert berechnungsfähig.",A_Allgemeine_zahnärztliche_Leistungen,70.0,3.94,9.05,13.78,"References: Nummer 0090, Nummer 0100",,"Wird die Leistung nach der Nummer 0090 je Zahn mehr als einmal berechnet, ist dies in der Rechnung zu begründen."
100,"Intraorale Leitungsanästhesie
Wird die Leistung nach der Num -
mer 0090 je Zahn mehr als einmal
berechnet, ist dies in der Rech -
nung zu begründen.
Bei den Leistungen nach den
Nummern 0090 und 0100 sind die
Kosten der verwendeten Anästhe -
tika gesondert berechnungsfähig.",A_Allgemeine_zahnärztliche_Leistungen,70.0,3.94,9.05,13.78,"References: Nummer 0090, Nummer 0100",,Bei den Leistungen nach den Nummern 0090 und 0100 sind die Kosten der verwendeten Anästhetika gesondert berechnungsfähig.
110,"Zuschlag für die Anwendung eines
Operationsmikroskops bei den
Leistungen nach den Nummern
2195, 2330, 2340, 2360, 2410, 2440,
3020, 3030, 3040, 3045, 3060, 3110,
3120, 3190, 3200, 4090, 4100, 4130,
4133, 9100, 9110, 9120, 9130 und 9170
Der Zuschlag nach der Nummer 0110 ist je Behandlungstag nur ein -
mal und nur mit dem einfachen
Gebührensatz berechnungsfähig.",A_Allgemeine_zahnärztliche_Leistungen,400.0,22.5,51.74,78.74,"References: Nummern 2195, 2330, 2340, 2360, 2410, 2440, 3020, 3030, 3040, 3045, 3060, 3110, 3120, 3190, 3200, 4090, 4100, 4130, 4133, 9100, 9110, 9120, 9130, 9170, Nummer 0110.",,"Der Zuschlag nach der Nummer 0110 ist je Behandlungstag nur ein -
mal und nur mit dem einfachen
Gebührensatz berechnungsfähig."
120,"Zuschlag für die Anwendung eines
Lasers bei den Leistungen nach
den Nummern 2410, 3070, 3080,
3210, 3240, 4080, 4090, 4100, 4130, 4133 und 9160
Der Zuschlag nach der Nummer 0120 beträgt 100 v.H. des einfa -
chen Gebührensatzes der betref -
fenden Leistung, jedoch nicht
mehr als 68 Euro. Der Zuschlag
nach der Nummer 0120 ist je Be -
handlungstag nur einmal berech -
nungsfähig.",A_Allgemeine_zahnärztliche_Leistungen,,,,,"References: Nummern 2410, 3070, 3080, 3210, 3240, 4080, 4090, 4100, 4130, 4133, 9160, 0120",,"Zuschlag für die Anwendung eines Lasers bei den Leistungen nach den Nummern 2410, 3070, 3080, 3210, 3240, 4080, 4090, 4100, 4130, 4133 und 9160"
