section,subsection,content,reference,extr_ref_calls,extr_ref_prompt_tokens,extr_ref_completion_tokens,extr_ref_total_cost,section_number,paragraph_number,parsed_references,rule,extr_rules_calls,extr_rules_prompt_tokens,extr_rules_completion_tokens,extr_rules_total_cost
,,"Erste Verordnung zur Änderung der Gebührenordnung für Zahnärzte Vom 5. Dezember 2011 Auf Grund des § 15 des Gesetzes über die Ausübung der Zahnheilkunde in der Fassung der Bekanntmachung vom 16. April 1987 (BGBl. I S. 1225) verordnet die Bundesregierung: Artikel 1 Änderung der Gebührenordnung für Zahnärzte Die Gebührenordnung für Zahnärzte vom 22. Oktober 1987 (BGBl. I S. 2316), die zuletzt durch Artikel 18 des Gesetzes vom 4. Dezember 2001 (BGBl. I S. 3320) geändert worden ist, wird wie folgt geändert:",References: § 15,1,240,5,0.0075,,,[{'section': '15'}],,1,787,5,0.0
§ 1 Anwendungsbereich ,(1),"Die Vergütungen für die beruflichen Leistungen der Zahnärzte bestimmen sich nach dieser Verordnung, soweit nicht durch Bundesgesetz etwas anderes bestimmt ist.",The text does not mention any references to other paragraphs.,1,102,11,0.0037199999999999,1.0,1.0,,,1,649,5,0.0
§ 1 Anwendungsbereich ,(2),"Vergütungen darf der Zahnarzt nur für Leistungen berechnen, die nach den Regeln der zahnärztlichen Kunst für eine zahnmedizinisch notwendige zahnärztliche Versorgung erforderlich sind. Leistungen, die über das Maß einer zahnmedizinisch notwendigen zahnärztlichen Versorgung hinausgehen, darf er nur berechnen, wenn sie auf Verlangen des Zahlungspflichtigen erbracht worden sind.",The text does not mention any references to other paragraphs.,1,170,11,0.00576,1.0,2.0,,,1,717,5,0.0
§ 2 Abweichende Vereinbarung ,(1),Durch Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von dieser Verordnung abweichende Gebührenhöhe festgelegt werden. Die Vereinbarung einer abweichenden Punktzahl (§ 5 Absatz 1 Satz 2) oder eines abweichenden Punktwertes (§ 5 Absatz 1 Satz 3) ist nicht zulässig. Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden.,References: §5 (1),1,191,7,0.00615,2.0,1.0,"[{'section': '5', 'paragraph': '1'}]","Eine Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von der GOZ abweichende Gebührenhöhe festlegen. Diese Regel kann überprüft werden, indem man die individuell vereinbarten Gebühren mit den Standardgebühren vergleicht, die sich aus der Multiplikation der Punktzahl mit dem Punktwert ergeben.",1,929,441,0.0
§ 2 Abweichende Vereinbarung ,(1),Durch Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von dieser Verordnung abweichende Gebührenhöhe festgelegt werden. Die Vereinbarung einer abweichenden Punktzahl (§ 5 Absatz 1 Satz 2) oder eines abweichenden Punktwertes (§ 5 Absatz 1 Satz 3) ist nicht zulässig. Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden.,References: §5 (1),1,191,7,0.00615,2.0,1.0,"[{'section': '5', 'paragraph': '1'}]","Die Vereinbarung einer abweichenden Punktzahl oder eines abweichenden Punktwertes ist nicht zulässig. Dies kann überprüft werden, indem man sicherstellt, dass die Punktzahl und der Punktwert in der Rechnung den in § 5 Absatz 1 der GOZ festgelegten Werten entsprechen.",1,929,441,0.0
§ 2 Abweichende Vereinbarung ,(1),Durch Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von dieser Verordnung abweichende Gebührenhöhe festgelegt werden. Die Vereinbarung einer abweichenden Punktzahl (§ 5 Absatz 1 Satz 2) oder eines abweichenden Punktwertes (§ 5 Absatz 1 Satz 3) ist nicht zulässig. Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden.,References: §5 (1),1,191,7,0.00615,2.0,1.0,"[{'section': '5', 'paragraph': '1'}]","Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden. Dies kann überprüft werden, indem man die Art der Behandlung auf der Rechnung überprüft und sicherstellt, dass Notfall- und Schmerzbehandlungen nicht von individuellen Vereinbarungen betroffen sind.",1,929,441,0.0
§ 2 Abweichende Vereinbarung ,(1),Durch Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von dieser Verordnung abweichende Gebührenhöhe festgelegt werden. Die Vereinbarung einer abweichenden Punktzahl (§ 5 Absatz 1 Satz 2) oder eines abweichenden Punktwertes (§ 5 Absatz 1 Satz 3) ist nicht zulässig. Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden.,References: §5 (1),1,191,7,0.00615,2.0,1.0,"[{'section': '5', 'paragraph': '1'}]","Die Höhe der einzelnen Gebühr bemisst sich nach dem Einfachen bis Dreieinhalbfachen des Gebührensatzes. Dies kann überprüft werden, indem man den Multiplikator für jede Leistung überprüft und sicherstellt, dass er innerhalb des zulässigen Bereichs von 1 bis 3,5 liegt.",1,929,441,0.0
§ 2 Abweichende Vereinbarung ,(1),Durch Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von dieser Verordnung abweichende Gebührenhöhe festgelegt werden. Die Vereinbarung einer abweichenden Punktzahl (§ 5 Absatz 1 Satz 2) oder eines abweichenden Punktwertes (§ 5 Absatz 1 Satz 3) ist nicht zulässig. Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden.,References: §5 (1),1,191,7,0.00615,2.0,1.0,"[{'section': '5', 'paragraph': '1'}]","Bei der Bemessung von Gebühren sind sich ergebende Bruchteile eines Cents unter 0,5 abzurunden und Bruchteile von 0,5 und mehr aufzurunden; die Rundung ist erst nach der Multiplikation mit dem Steigerungsfaktor vorzunehmen. Dies kann überprüft werden, indem man die berechneten Gebühren auf korrekte Rundung überprüft.",1,929,441,0.0
§ 2 Abweichende Vereinbarung ,(1),Durch Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von dieser Verordnung abweichende Gebührenhöhe festgelegt werden. Die Vereinbarung einer abweichenden Punktzahl (§ 5 Absatz 1 Satz 2) oder eines abweichenden Punktwertes (§ 5 Absatz 1 Satz 3) ist nicht zulässig. Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden.,References: §5 (1),1,191,7,0.00615,2.0,1.0,"[{'section': '5', 'paragraph': '1'}]",,1,929,441,0.0
§ 2 Abweichende Vereinbarung ,(2),"Eine Vereinbarung nach Absatz 1 Satz 1 ist nach persönlicher Absprache im Einzelfall zwischen Zahnarzt und Zahlungspflichtigem vor Erbringung der Leistung des Zahnarztes schriftlich zu treffen. Dieses muss neben der Nummer und der Bezeichnung der Leistung, dem vereinbarten Steigerungssatz und dem sich daraus ergebenden Betrag auch die Feststellung enthalten, dass eine Erstattung der Vergütung durch Erstattungsstellen möglicherweise nicht in vollem Umfang gewährleistet ist. Weitere Erklärungen darf die Vereinbarung nicht enthalten. Der Zahnarzt hat dem Zahlungspflichtigen einen Abdruck der Vereinbarung auszuhändigen.",The text does not contain any references to other paragraphs.,1,233,11,0.00765,2.0,2.0,,,1,780,5,0.0
