section,subsection,content,reference,extr_ref_calls,extr_ref_prompt_tokens,extr_ref_completion_tokens,extr_ref_total_cost,section_number,paragraph_number,parsed_references,rule,extr_rules_calls,extr_rules_prompt_tokens,extr_rules_completion_tokens,extr_rules_total_cost
,,"Erste Verordnung zur Änderung der Gebührenordnung für Zahnärzte Vom 5. Dezember 2011 Auf Grund des § 15 des Gesetzes über die Ausübung der Zahnheilkunde in der Fassung der Bekanntmachung vom 16. April 1987 (BGBl. I S. 1225) verordnet die Bundesregierung: Artikel 1 Änderung der Gebührenordnung für Zahnärzte Die Gebührenordnung für Zahnärzte vom 22. Oktober 1987 (BGBl. I S. 2316), die zuletzt durch Artikel 18 des Gesetzes vom 4. Dezember 2001 (BGBl. I S. 3320) geändert worden ist, wird wie folgt geändert:",References: § 15,1,240,5,0.0075,,,[{'section': '15'}],,1,782,5,0.023760000000000003
§ 1 Anwendungsbereich ,(1),"Die Vergütungen für die beruflichen Leistungen der Zahnärzte bestimmen sich nach dieser Verordnung, soweit nicht durch Bundesgesetz etwas anderes bestimmt ist.",The text does not mention any references to other paragraphs.,1,102,11,0.0037199999999999,1.0,1.0,,,1,644,5,0.019620000000000002
§ 1 Anwendungsbereich ,(2),"Vergütungen darf der Zahnarzt nur für Leistungen berechnen, die nach den Regeln der zahnärztlichen Kunst für eine zahnmedizinisch notwendige zahnärztliche Versorgung erforderlich sind. Leistungen, die über das Maß einer zahnmedizinisch notwendigen zahnärztlichen Versorgung hinausgehen, darf er nur berechnen, wenn sie auf Verlangen des Zahlungspflichtigen erbracht worden sind.",The text does not mention any references to other paragraphs.,1,170,11,0.00576,1.0,2.0,,,1,712,5,0.02166
§ 2 Abweichende Vereinbarung ,(1),Durch Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von dieser Verordnung abweichende Gebührenhöhe festgelegt werden. Die Vereinbarung einer abweichenden Punktzahl (§ 5 Absatz 1 Satz 2) oder eines abweichenden Punktwertes (§ 5 Absatz 1 Satz 3) ist nicht zulässig. Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden.,References: §5 (1),1,191,7,0.00615,2.0,1.0,"[{'section': '5', 'paragraph': '1'}]","Rule 1: The agreement of a deviating point score (§ 5 paragraph 1 sentence 2) or a deviating point value (§ 5 paragraph 1 sentence 3) is not permitted. This means that the ""PointScore"" and ""Multiplier"" values in the invoice should not deviate from the values specified in the GOZ.",1,924,128,0.0354
§ 2 Abweichende Vereinbarung ,(1),Durch Vereinbarung zwischen Zahnarzt und Zahlungspflichtigem kann eine von dieser Verordnung abweichende Gebührenhöhe festgelegt werden. Die Vereinbarung einer abweichenden Punktzahl (§ 5 Absatz 1 Satz 2) oder eines abweichenden Punktwertes (§ 5 Absatz 1 Satz 3) ist nicht zulässig. Notfall- und akute Schmerzbehandlungen dürfen nicht von einer Vereinbarung nach Satz 1 abhängig gemacht werden.,References: §5 (1),1,191,7,0.00615,2.0,1.0,"[{'section': '5', 'paragraph': '1'}]",Rule 2: Emergency and acute pain treatments must not be made dependent on an agreement according to sentence 1. This implies that the services related to emergency and acute pain treatments in the invoice should not be influenced by any special agreement between the dentist and the payer.,1,924,128,0.0354
§ 2 Abweichende Vereinbarung ,(2),"Eine Vereinbarung nach Absatz 1 Satz 1 ist nach persönlicher Absprache im Einzelfall zwischen Zahnarzt und Zahlungspflichtigem vor Erbringung der Leistung des Zahnarztes schriftlich zu treffen. Dieses muss neben der Nummer und der Bezeichnung der Leistung, dem vereinbarten Steigerungssatz und dem sich daraus ergebenden Betrag auch die Feststellung enthalten, dass eine Erstattung der Vergütung durch Erstattungsstellen möglicherweise nicht in vollem Umfang gewährleistet ist. Weitere Erklärungen darf die Vereinbarung nicht enthalten. Der Zahnarzt hat dem Zahlungspflichtigen einen Abdruck der Vereinbarung auszuhändigen.",The text does not contain any references to other paragraphs.,1,233,11,0.00765,2.0,2.0,,Rule 1: The invoice must contain the service number and the description of the service.,1,775,76,0.02781
§ 2 Abweichende Vereinbarung ,(2),"Eine Vereinbarung nach Absatz 1 Satz 1 ist nach persönlicher Absprache im Einzelfall zwischen Zahnarzt und Zahlungspflichtigem vor Erbringung der Leistung des Zahnarztes schriftlich zu treffen. Dieses muss neben der Nummer und der Bezeichnung der Leistung, dem vereinbarten Steigerungssatz und dem sich daraus ergebenden Betrag auch die Feststellung enthalten, dass eine Erstattung der Vergütung durch Erstattungsstellen möglicherweise nicht in vollem Umfang gewährleistet ist. Weitere Erklärungen darf die Vereinbarung nicht enthalten. Der Zahnarzt hat dem Zahlungspflichtigen einen Abdruck der Vereinbarung auszuhändigen.",The text does not contain any references to other paragraphs.,1,233,11,0.00765,2.0,2.0,,Rule 2: The invoice must specify the agreed multiplier and the resulting amount.,1,775,76,0.02781
§ 2 Abweichende Vereinbarung ,(2),"Eine Vereinbarung nach Absatz 1 Satz 1 ist nach persönlicher Absprache im Einzelfall zwischen Zahnarzt und Zahlungspflichtigem vor Erbringung der Leistung des Zahnarztes schriftlich zu treffen. Dieses muss neben der Nummer und der Bezeichnung der Leistung, dem vereinbarten Steigerungssatz und dem sich daraus ergebenden Betrag auch die Feststellung enthalten, dass eine Erstattung der Vergütung durch Erstattungsstellen möglicherweise nicht in vollem Umfang gewährleistet ist. Weitere Erklärungen darf die Vereinbarung nicht enthalten. Der Zahnarzt hat dem Zahlungspflichtigen einen Abdruck der Vereinbarung auszuhändigen.",The text does not contain any references to other paragraphs.,1,233,11,0.00765,2.0,2.0,,Rule 3: The invoice must contain a statement that reimbursement of the fee by reimbursement agencies may not be fully guaranteed.,1,775,76,0.02781
§ 2 Abweichende Vereinbarung ,(2),"Eine Vereinbarung nach Absatz 1 Satz 1 ist nach persönlicher Absprache im Einzelfall zwischen Zahnarzt und Zahlungspflichtigem vor Erbringung der Leistung des Zahnarztes schriftlich zu treffen. Dieses muss neben der Nummer und der Bezeichnung der Leistung, dem vereinbarten Steigerungssatz und dem sich daraus ergebenden Betrag auch die Feststellung enthalten, dass eine Erstattung der Vergütung durch Erstattungsstellen möglicherweise nicht in vollem Umfang gewährleistet ist. Weitere Erklärungen darf die Vereinbarung nicht enthalten. Der Zahnarzt hat dem Zahlungspflichtigen einen Abdruck der Vereinbarung auszuhändigen.",The text does not contain any references to other paragraphs.,1,233,11,0.00765,2.0,2.0,,Rule 4: The invoice should not contain any further explanations.,1,775,76,0.02781
§ 2 Abweichende Vereinbarung ,(2),"Eine Vereinbarung nach Absatz 1 Satz 1 ist nach persönlicher Absprache im Einzelfall zwischen Zahnarzt und Zahlungspflichtigem vor Erbringung der Leistung des Zahnarztes schriftlich zu treffen. Dieses muss neben der Nummer und der Bezeichnung der Leistung, dem vereinbarten Steigerungssatz und dem sich daraus ergebenden Betrag auch die Feststellung enthalten, dass eine Erstattung der Vergütung durch Erstattungsstellen möglicherweise nicht in vollem Umfang gewährleistet ist. Weitere Erklärungen darf die Vereinbarung nicht enthalten. Der Zahnarzt hat dem Zahlungspflichtigen einen Abdruck der Vereinbarung auszuhändigen.",The text does not contain any references to other paragraphs.,1,233,11,0.00765,2.0,2.0,,,1,775,76,0.02781
§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Rule 1: Services that go beyond the necessary dental care (as per § 1 (2)) must be explicitly requested by the payer. This request should be documented in the ""Justification"" field of the service.",1,1025,273,0.04713
§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Rule 2: Services that go beyond the necessary dental care (as per § 1 (2)) and are requested by the payer may not be guaranteed for reimbursement. This should be indicated in the ""Justification"" field of the service.",1,1025,273,0.04713
§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Rule 3: A treatment and cost plan must be created before the service is provided. This implies that the ""DateOfTreatment"" for each service must be later than the creation date of the treatment and cost plan. The creation date of the treatment and cost plan can be assumed to be the ""InvoiceDate"".",1,1025,273,0.04713
§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Rule 4: The treatment and cost plan must include individual services and charges. This implies that each service in the ""Services"" array must have a ""ServiceNumber"", ""Multiplier"", ""PointScore"", ""Charge"", and ""Description"".",1,1025,273,0.04713
§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Rule 5: Independent dental services not included in the fee schedule (as per § 6 (1)) can be charged according to a service of equivalent type, cost, and time expenditure. This implies that the ""Charge"" for each service must be justified in the ""Justification"" field of the service.",1,1025,273,0.04713
